org_list,0,1,total,prop_0,prop_1,diff
Inuoice,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Kingdome,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Kingdoms and Commonweals,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Kings,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Flabs of Groninghen 4,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Flanders,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Lease,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Lerwick,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Letters of Advice,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Leith,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Leghorn,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Lotaries,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Locatio,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Majesties,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Malesties Praeemption,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Maluidies,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Lucern,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Marius,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Monnoies,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Mercers of London,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
"Imposts, Demesnes",1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Interest Money,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Interest of Money,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Money and Exchange,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the States of the United Provinces,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Money for Wares,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Moneys and Exchange,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Vintage,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Villages,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Wareswil,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Warlike Provisions,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
West-Indies Fleet,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Wardhouse,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Woolegrower,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Wools,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Yronmongers,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
a Letter of Credit,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Conditions,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Contract,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
"Cordage, Ordnance, Victuals,",1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Woll,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Suggestion,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Suit of Mill,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Mr Byron,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Munition and Provisions,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
"Mysteries, &",1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
"Plackx, Atchisons, Nonsunts",1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Plymouth,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Porte,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Monsieur Malestroit,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Motus,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Occidental,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Office of the King's,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Credit of Land,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Cumberland,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Naturall Exchange,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Strangers,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
"Madril, Lions, Civil,",1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Customs,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Deare,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Diamond,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
THE Monies of Christendom,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Table,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Taxes,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
The Basis of Exchange,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
The East-India Company,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
The East-India Trade,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Spice,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
The Flat Diamonds,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
The French Company The French Company,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
The Running Lotaries,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Stone,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Societies of English,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Commission of a Merchant,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Staple Trade,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Statute Staple,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Sterling,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Rule of Arithmitike,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
SILVER,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Shipping,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Ships Essex,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Drapery,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Droits,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
East-India Commodities,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Eastland Merchants,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Pipe,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Placcart,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Oriental Pearls,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
